time_s,strain
0.000000,0.000000e+00
0.000244,1.457062e-47
0.000488,3.009632e-47
0.000733,4.659026e-47
0.000977,6.406298e-47
0.001221,8.252214e-47
0.001465,1.019723e-46
0.001709,1.224147e-46
0.001954,1.438469e-46
0.002198,1.662626e-46
0.002442,1.896515e-46
0.002686,2.139987e-46
0.002930,2.392846e-46
0.003175,2.654849e-46
0.003419,2.925697e-46
0.003663,3.205039e-46
0.003907,3.492464e-46
0.004151,3.787501e-46
0.004396,4.089617e-46
0.004640,4.398212e-46
0.004884,4.712616e-46
0.005128,5.032091e-46
0.005372,5.355823e-46
0.005617,5.682926e-46
0.005861,6.012432e-46
0.006105,6.343296e-46
0.006349,6.674391e-46
0.006593,7.004509e-46
0.006838,7.332354e-46
0.007082,7.656549e-46
0.007326,7.975627e-46
0.007570,8.288038e-46
0.007814,8.592143e-46
0.008059,8.886217e-46
0.008303,9.168449e-46
0.008547,9.436945e-46
0.008791,9.689726e-46
0.009035,9.924730e-46
0.009280,1.013982e-45
0.009524,1.033277e-45
0.009768,1.050131e-45
0.010012,1.064307e-45
0.010256,1.075562e-45
0.010501,1.083650e-45
0.010745,1.088316e-45
0.010989,1.089303e-45
0.011233,1.086348e-45
0.011477,1.079187e-45
0.011722,1.067552e-45
0.011966,1.051176e-45
0.012210,1.029788e-45
0.012454,1.003122e-45
0.012698,9.709109e-46
0.012943,9.328929e-46
0.013187,8.888102e-46
0.013431,8.384111e-46
0.013675,7.814517e-46
0.013919,7.176971e-46
0.014164,6.469238e-46
0.014408,5.689206e-46
0.014652,4.834911e-46
0.014896,3.904554e-46
0.015140,2.896518e-46
0.015385,1.809395e-46
0.015629,6.420007e-47
0.015873,-6.065993e-47
0.016117,-1.937069e-46
0.016361,-3.349780e-46
0.016606,-4.844784e-46
0.016850,-6.421795e-46
0.017094,-8.080162e-46
0.017338,-9.818844e-46
0.017582,-1.163639e-45
0.017827,-1.353091e-45
0.018071,-1.550005e-45
0.018315,-1.754099e-45
0.018559,-1.965037e-45
0.018803,-2.182434e-45
0.019048,-2.405846e-45
0.019292,-2.634774e-45
0.019536,-2.868660e-45
0.019780,-3.106883e-45
0.020024,-3.348761e-45
0.020269,-3.593546e-45
0.020513,-3.840426e-45
0.020757,-4.088519e-45
0.021001,-4.336878e-45
0.021245,-4.584485e-45
0.021490,-4.830255e-45
0.021734,-5.073032e-45
0.021978,-5.311589e-45
0.022222,-5.544635e-45
0.022466,-5.770805e-45
0.022711,-5.988673e-45
0.022955,-6.196743e-45
0.023199,-6.393459e-45
0.023443,-6.577202e-45
0.023687,-6.746296e-45
0.023932,-6.899012e-45
0.024176,-7.033568e-45
0.024420,-7.148138e-45
0.024664,-7.240856e-45
0.024908,-7.309817e-45
0.025153,-7.353091e-45
0.025397,-7.368724e-45
0.025641,-7.354747e-45
0.025885,-7.309186e-45
0.026129,-7.230066e-45
0.026374,-7.115426e-45
0.026618,-6.963325e-45
0.026862,-6.771854e-45
0.027106,-6.539149e-45
0.027350,-6.263398e-45
0.027595,-5.942860e-45
0.027839,-5.575871e-45
0.028083,-5.160864e-45
0.028327,-4.696381e-45
0.028571,-4.181086e-45
0.028816,-3.613782e-45
0.029060,-2.993427e-45
0.029304,-2.319151e-45
0.029548,-1.590268e-45
0.029792,-8.062994e-46
0.030037,3.301370e-47
0.030281,9.276916e-46
0.030525,1.877499e-45
0.030769,2.881926e-45
0.031013,3.940174e-45
0.031258,5.051136e-45
0.031502,6.213380e-45
0.031746,7.425133e-45
0.031990,8.684265e-45
0.032234,9.988272e-45
0.032479,1.133427e-44
0.032723,1.271895e-44
0.032967,1.413863e-44
0.033211,1.558916e-44
0.033455,1.706598e-44
0.033700,1.856408e-44
0.033944,2.007798e-44
0.034188,2.160177e-44
0.034432,2.312906e-44
0.034676,2.465299e-44
0.034921,2.616626e-44
0.035165,2.766109e-44
0.035409,2.912924e-44
0.035653,3.056205e-44
0.035897,3.195040e-44
0.036142,3.328476e-44
0.036386,3.455519e-44
0.036630,3.575138e-44
0.036874,3.686265e-44
0.037118,3.787800e-44
0.037363,3.878612e-44
0.037607,3.957544e-44
0.037851,4.023417e-44
0.038095,4.075036e-44
0.038339,4.111189e-44
0.038584,4.130658e-44
0.038828,4.132226e-44
0.039072,4.114674e-44
0.039316,4.076797e-44
0.039560,4.017408e-44
0.039805,3.935342e-44
0.040049,3.829467e-44
0.040293,3.698694e-44
0.040537,3.541981e-44
0.040781,3.358343e-44
0.041026,3.146864e-44
0.041270,2.906704e-44
0.041514,2.637111e-44
0.041758,2.337427e-44
0.042002,2.007103e-44
0.042247,1.645707e-44
0.042491,1.252936e-44
0.042735,8.286231e-45
0.042979,3.727545e-45
0.043223,-1.145253e-45
0.043468,-6.329004e-45
0.043712,-1.181873e-44
0.043956,-1.760755e-44
0.044200,-2.368655e-44
0.044444,-3.004470e-44
0.044689,-3.666878e-44
0.044933,-4.354328e-44
0.045177,-5.065030e-44
0.045421,-5.796953e-44
0.045665,-6.547811e-44
0.045910,-7.315067e-44
0.046154,-8.095918e-44
0.046398,-8.887301e-44
0.046642,-9.685884e-44
0.046886,-1.048807e-43
0.047131,-1.129000e-43
0.047375,-1.208753e-43
0.047619,-1.287629e-43
0.047863,-1.365162e-43
0.048107,-1.440864e-43
0.048352,-1.514221e-43
0.048596,-1.584697e-43
0.048840,-1.651736e-43
0.049084,-1.714760e-43
0.049328,-1.773174e-43
0.049573,-1.826367e-43
0.049817,-1.873713e-43
